Outcome,Subject,Parameter,Symmetric,Directional,DirectionalMinusSymmetric
RT,VP0001,alpha,0.513511579223372,0.527952356266629,0.014440777043257
RT,VP0002,alpha,0.87253007339429,0.675484271166864,-0.197045802227426
RT,VP0003,alpha,0.927869911141727,0.990406523655376,0.0625366125136485
RT,VP0004,alpha,0.770254528883945,0.538804948032753,-0.231449580851192
RT,VP0005,alpha,0.925451926991115,0.874669136579492,-0.0507827904116228
RT,VP0006,alpha,0.904372498094464,0.938606830376349,0.0342343322818851
RT,VP0007,alpha,0.586322316307036,0.643782801088557,0.0574604847815208
RT,VP0008,alpha,0.844970251057585,0.00164462525732482,-0.84332562580026
RT,VP0009,alpha,0.941646660464991,0.965896472987765,0.0242498125227737
RT,VP0010,alpha,0.00855909315223538,0.97894029792189,0.970381204769654
RT,VP0011,alpha,0.645771444232868,0.778852218882498,0.13308077464963
RT,VP0012,alpha,0.77340144562284,0.735317137245921,-0.0380843083769183
RT,VP0013,alpha,0.714899630600054,0.855808140211754,0.1409085096117
RT,VP0014,alpha,0.776308600486808,0.920078054790446,0.143769454303638
RT,VP0015,alpha,0.319810737015288,0.790023870010075,0.470213132994787
RT,VP0016,alpha,0.948813975555572,0.937046835276084,-0.0117671402794882
RT,VP0017,alpha,0.559365853663237,0.903871181957439,0.344505328294202
RT,VP0018,alpha,0.638863286816385,0.636765713974248,-0.00209757284213685
RT,VP0019,alpha,0.282106074470385,0.908360567741965,0.62625449327158
RT,VP0020,alpha,0.924736310961981,0.895033900524336,-0.0297024104376448
RT,VP0021,alpha,0.875950011240733,0.88711725065747,0.0111672394167367
RT,VP0022,alpha,0.84393149573373,0.959687311334451,0.115755815600722
RT,VP0023,alpha,0.86755922984911,0.00164462525732482,-0.865914604591785
RT,VP0024,alpha,0.975037531332106,0.996269323589959,0.0212317922578524
RT,VP0025,alpha,0.562470082289669,0.704904058134546,0.142433975844877
RT,VP0026,alpha,0.385471172117719,0.455371802215178,0.0699006300974588
RT,VP0027,alpha,0.737754453361941,0.75885917145656,0.0211047180946189
RT,VP0028,alpha,0.447972854487373,0.521875594729356,0.073902740241983
