Outcome,Subject,Condition,EffectScale,UnexpectednessSD_Symmetric,UnexpectednessSD_Directional,LogEffect_Symmetric,LogEffect_Directional,DeltaLogEffect,TransformedEffect_Symmetric,TransformedEffect_Directional
RT,VP0001,Congruent,PercentRTChange,0.0835024892280635,0.0758441747568104,0.0548928130606526,0.0656760367262675,0.0107832236656149,5.64273733898129,6.78807069919323
RT,VP0002,Congruent,PercentRTChange,0.119885477689747,0.0961189379750682,0.0820383572746894,0.0815041224137112,-0.000534234860978158,8.54974457547251,8.4917690054342
RT,VP0003,Congruent,PercentRTChange,0.116221428801728,0.0862809232972471,0.0241726215028541,0.0271075962534203,0.00293497475056624,2.44671476865281,2.74783496370594
RT,VP0004,Congruent,PercentRTChange,0.115236593103055,0.0755926824983589,0.0554089709256382,0.0549353581429506,-0.000473612782687573,5.69727974377208,5.64723201354804
RT,VP0005,Congruent,PercentRTChange,0.113164762385687,0.127314287834843,0.051292866625668,0.0465721153682891,-0.00472075125737893,5.26311286717989,4.76736297139733
RT,VP0006,Congruent,PercentRTChange,0.11176620361857,0.115071243417458,0.0519773825017522,0.0424454419592785,-0.00953194054247367,5.335191805878,4.33591311908623
RT,VP0007,Congruent,PercentRTChange,0.0944037754163439,0.0953830146663871,0.0653610826459651,0.0713512502866468,0.00599016764068165,6.7544426565215,7.39583878169257
RT,VP0008,Congruent,PercentRTChange,0.120024582649031,0.000194326539765845,0.0198932651579541,0.00127162752669003,-0.0186216376312641,2.00924548088997,0.127243638779362
RT,VP0009,Congruent,PercentRTChange,0.109345587129842,0.111851139434454,0.0255237376564264,0.02819837227078,0.00267463461435358,2.58522573098534,2.85997098444282
RT,VP0010,Congruent,PercentRTChange,0.00143771793024583,0.0991563584366907,0.0196231043285721,0.0292685845873139,0.00964548025874183,1.98169030085895,2.97011191884844
RT,VP0011,Congruent,PercentRTChange,0.103029381540847,0.114913420608717,0.0457370836062527,0.0471316803729501,0.00139459676669743,4.67991541151769,4.82600352641787
RT,VP0012,Congruent,PercentRTChange,0.121285955067578,0.110794188622175,0.0555453477324474,0.0572943377363241,0.00174899000387678,5.71169538422911,5.89674586129438
RT,VP0013,Congruent,PercentRTChange,0.114634915556248,0.125291312332284,0.0374688792426427,0.0419711869067109,0.00450230766406822,3.81796876409282,4.28644301677548
RT,VP0014,Congruent,PercentRTChange,0.118593526712336,0.124781159813773,0.0309485298808532,0.0317101905126649,0.000761660631811698,3.14324145710079,3.22183152923876
